datetime,DA_scheduled_Belgium_MW,DA_scheduled_Germany_MW,DA_scheduled_Italy_MW,DA_scheduled_Luxembourg_MW,DA_scheduled_Spain_MW,DA_scheduled_Switzerland_MW,DA_scheduled_UnitedKingdom_MW,physical_actual_Belgium_MW,physical_actual_Germany_MW,physical_actual_Italy_MW,physical_actual_Luxembourg_MW,physical_actual_Spain_MW,physical_actual_Switzerland_MW,physical_actual_UnitedKingdom_MW
01/01/2024 11:45 - 01/01/2024 12:00,-597,-814,928,0,2250.8,1418.5,3014,-883.84,311.86,1075,0,2482.62,1215,3044
01/01/2024 12:00 - 01/01/2024 12:15,-992.9,278.35,1110,0,1861.8,1685.8,3014,-477.26,688.77,1179.25,0,1966.64,1436.75,3054.25
01/01/2024 12:15 - 01/01/2024 12:30,-992.9,278.35,1110,0,1861.8,1685.8,3014,-477.26,688.77,1179.25,0,1966.64,1436.75,3054.25
01/01/2024 12:30 - 01/01/2024 12:45,-992.9,278.35,1110,0,1861.8,1685.8,3014,-477.26,688.77,1179.25,0,1966.64,1436.75,3054.25
01/01/2024 12:45 - 01/01/2024 13:00,-992.9,278.35,1110,0,1861.8,1685.8,3014,-477.26,688.77,1179.25,0,1966.64,1436.75,3054.25
01/01/2024 13:00 - 01/01/2024 13:15,-451.2,860.55,1803,0,1757.3,1649.1,3014,-169.13,1360.81,1497.25,0,1813.16,1806,3057
01/01/2024 13:15 - 01/01/2024 13:30,-451.2,860.55,1803,0,1757.3,1649.1,3014,-169.13,1360.81,1497.25,0,1813.16,1806,3057
01/01/2024 13:30 - 01/01/2024 13:45,-451.2,860.55,1803,0,1757.3,1649.1,3014,-169.13,1360.81,1497.25,0,1813.16,1806,3057
01/01/2024 13:45 - 01/01/2024 14:00,-451.2,860.55,1803,0,1757.3,1649.1,3014,-169.13,1360.81,1497.25,0,1813.16,1806,3057
01/01/2024 14:00 - 01/01/2024 14:15,461.35,2198.25,2265,0,697,2377.4,3014,642.5,2340.09,2128.5,0,656.49,2495.5,3054
01/01/2024 14:15 - 01/01/2024 14:30,461.35,2198.25,2265,0,697,2377.4,3014,642.5,2340.09,2128.5,0,656.49,2495.5,3054
01/01/2024 14:30 - 01/01/2024 14:45,461.35,2198.25,2265,0,697,2377.4,3014,642.5,2340.09,2128.5,0,656.49,2495.5,3054
01/01/2024 14:45 - 01/01/2024 15:00,461.35,2198.25,2265,0,697,2377.4,3014,642.5,2340.09,2128.5,0,656.49,2495.5,3054
01/01/2024 15:00 - 01/01/2024 15:15,2569.65,2732.6,2438,0,-1525.8,3200,3013,2454.69,3092.56,2492.5,0,-1619.25,2976.75,3052.75
01/01/2024 15:15 - 01/01/2024 15:30,2569.65,2732.6,2438,0,-1525.8,3200,3013,2454.69,3092.56,2492.5,0,-1619.25,2976.75,3052.75
01/01/2024 15:30 - 01/01/2024 15:45,2569.65,2732.6,2438,0,-1525.8,3200,3013,2454.69,3092.56,2492.5,0,-1619.25,2976.75,3052.75
01/01/2024 15:45 - 01/01/2024 16:00,2569.65,2732.6,2438,0,-1525.8,3200,3013,2454.69,3092.56,2492.5,0,-1619.25,2976.75,3052.75
